no,Tgl_Iklan,url,harga,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
11,02-04-2021,https://www.rumah123.com/properti/medan/hos8113139/,420000000,Medan,50,84,2,1,0,0,1,0,1300,SHM,rumah dekat dengan istana maimun lokasi strategis,"SPESIFIKASI :

SHM, IMB, PBB
2 Kamar tidur
1 Kamar mandi
R.tamu, R.keluarga, R.makan
Dapur
Listrik 2.200 watt (2 lantai)
Listrik 1300 watt (1 lantai)
Lantai granite 60x60
Taman
Carport
Air PDAM
Service area/laundry


5 menit ke rs estomi sm raja
5 menit ke pajak simp limun
5 menit ke jl besar sm raja
10 menit ke istana maimun
10 menit ke masjid raya
15 menit ke merdeka walk
16 menit ke mall podo moro
Dekat pusat pendidikan
Dekat pusat perbelanjaan
Dekat pusat perkantoran"
12,02-04-2021,https://www.rumah123.com/properti/medan/hos8113122/,700000000,Medan,84,100,3,3,0,0,1,0,2200,SHM,perumahan 2 lantai harga murah di pusat kota medan jl SM raja,"SPESIFIKASI :

SHM, IMB, PBB
3 Kamar tidur
3 Kamar mandi
R.tamu, R.keluarga, R.makan
Dapur
Listrik 2.200 watt (2 lantai)
Listrik 1300 watt (1 lantai)
Lantai granite 60x60
Taman
Carport
Air PDAM
Service area/laundry


5 menit ke rs estomi sm raja
5 menit ke pajak simp limun
5 menit ke jl besar sm raja
10 menit ke istana maimun
10 menit ke masjid raya
15 menit ke merdeka walk
16 menit ke mall podo moro
Dekat pusat pendidikan
Dekat pusat perbelanjaan
Dekat pusat perkantoran"
13,02-04-2021,https://www.rumah123.com/properti/medan/hos8113023/,450000000,Medan,60,60,3,1,0,0,1,0,1300,SHM,The Green Rajawali,"The Green Rajawali

Jl. Sunggal dekat dengan Ring Road.

Ukuran rumah 6 10 lt 1,lt 2 6x 5

3 kamar tidur,1 kmr mandi,1 dapur+ kitchenset.

Carport,taman kering depan

SHM, harga 450 jt net.
"
14,02-04-2021,https://www.rumah123.com/properti/medan/hos8112971/,1000000000,Medan,180,160,4,3,0,0,0,2,2200,SHM,mutiara asoka,"SHM

Lt ; 160m2

Lb ; 180m2

Rk , Rtv,R.cuci,dpr

Km ; 3

Kt ; 4

Taman kering

Grsasi 2 mbl

Fasilitas ;

Ac , Water heater, gorden

Hub

wa.me//6282274827652"
15,02-04-2021,https://www.rumah123.com/properti/medan/hos8111484/,425000000,Medan,50,78,2,1,0,0,0,0,1300,SHM,RUMAH MURAH NGUMBAN SURBAKTI BUNGA TEROMPET SETIA BUDI RINGROAD,"JANNATI GARDEN

Hunian Nyaman dan Strategis, Apa saja penjelasannya

Lihat point Point ini ya :
1. HARGA 425 JUTA saja
2. AREA RINGROAD SETIA BUDI
3. BISA DIBUAT 2 LANTAI DENGAN 3 KAMAR
4. LINGKUNGAN ELIT NYAMAN D AN ASRI
5. CUKUP JALAN KAKI KE MASJID
6. KAWASAN ELIT BISNIS RINGROAD NAMUN BERSUASANA DESA
7. COCOK UNTUK INVESTASI
8. DESIGN BISA SUKA SUKA
9. MUDAH KE USU, CARREFOUR AKSES ASPAL MULUS
19. BANYAK WISATA KULINER MALAM HARI
20. TYPE 50, 6x13

Strategis :
1. AREA PALING DIMINATI DENGAN KOTA ICON MEDAN YAITU :
PADANG BULAN
RINGROAD
SETIA BUDI
2. SEGALANYA DEKAT SPBU, ATM, ALFAMART, INDOMARET, MALL PUSAT PERBELANJAAN
3. DEKAT PIZZA HUT, MC DONALD
4. TINGGAL PILIH DEKAT SEMUA KAMPUS
UNIKA
USU
QUALITY

SHM, IMB OKE

Secepatnya Dibangun

ADA PILIHAN YANG LAIN PROYEK KAMI DI AREA SETIA BUDI RINGROAD SEGARA HUBUNGI MARKETING HOTLINE KAMI ya"
16,01-04-2021,https://www.rumah123.com/properti/medan/hos8111424/,695000000,Medan,105,190,3,2,0,0,0,0,2200,SHM,New Home Premiere Residence,"DIJUAL RUMAH LOKASI STRATEGIS MEDAN

Rumah 2,5 lantai dijual (SHM).

Alamat Premiere Residance Jl. Suka Tari

Sumatera Utara.

Luas tanah 105 M2

Luas Bangunan 190 M2

Ukuran lebar depan lebih kurang 7 meter,

Panjang 15 Meter.

Jarak Lantai dengan Plafon tinggi (4m).

Cocok untuk Usaha

Lantai full keramik sampai dinding kamar mandi

3 Kamar tidur dan 2 Kamar Mandi.

Listrik Tiken pasca bayar.

Lokasi tepatnya :

2 menit menuju Prime One School

Dekat Alfamart dan Restoran Minang Sederhana. Dekat dengan Kampus Kedokteran UISU, Dekat Mesjid.

Harga Rp 695 jt

minat :
wa.me//6282274827652"
17,01-04-2021,https://www.rumah123.com/properti/medan/hos8111336/,695000000,Medan,105,105,3,3,0,0,2,0,2200,SHM,Rumah Baru Murah,"Jual murah...

Rumah Baru.

Bangunan rumah 2,5 Lantai

3 kamar tidur dan 3 kamar mandi.

WC duduk dg dinding keramik.

Kamar utama ada kamar mandi.

Kicten Set + kompor tanam Modena

Car port bisa untuk 2 unit Mobil dan motor.

LT 6 x 17,5 m

SHM.

minat :
wa.me//6282274827652"
18,31-03-2021,https://www.rumah123.com/properti/medan/hos8106217/,750000000,Medan,120,120,5,2,0,0,0,0,1300,SHM,Rumah Jl. Karya Cilincing,"Dijual rumah

ukuran 17,5 X 16,5 surat
SHM.
Rumah induk kamar 5
Kamar mandi 2
Rumah kecil kmr tidur 2
Kamar mandi 1
Listrik 1300
Jln karya, medan barat

Harga 750 BISA NEGO

minat :
wa.me//6282274827652"
19,31-03-2021,https://www.rumah123.com/properti/medan/hos8105638/,600000000,Medan,396,396,3,2,0,0,0,0,1300,SHM,Rumah sei semayang,"Di jual Rumah Jl. sei Semayang

UK. 18 22
KT. 3
KM. 2
SHM

minat :
wa.me//6282274827652"
20,30-03-2021,https://www.rumah123.com/properti/medan/hos8100734/,330000000,Medan,77,45,2,1,0,0,1,0,1300,SHM,RUMAH JALAN BESAR JAMIN GINTING,"TOPAZ RESIDENCE

TOPAZ LAUCIH

Apa alasannya kok bagus beli rumah yang ini aja?

Ini alasannya :
1. SUDAH DI BANGUN SUDAH JELAS
2. DARI 74 SOLD OUT 50 LEBIH TERBUKTI
3. HARGA 310 JUTA DI KOTAMADYA
4. DI PINGGIR JALAN LINTAS JALAN RAYA BESAR JAMIN GINTING
5. TYPE 45, 6x12
6. RAMAI BISA UNTUK USAHA
7. PASTI AMAN ADA SECURITY
8. DI AREA KETINGGIAN ANTI BANJIR

AKSES STRATEGIS :
1. DEKAT WISATA HAIROS
2. DEKAT MASJID
3. DEKAT RS. ADAM MALIK
4. DEKAT PASAR INDUK
5. DEKAT BASARNAS
6. KE SETIA BUDI RINGROAD TINGGAL LURUS KE TIMUR
7. KE BARAT LURUS JALAN POROS KE BERASTAGI
8. DEKAT PUSAT PERBELANJAAN
9. BANYAK WISATA KULINER

SHM, IMB, PBB SIAP

1. KAMAR 2
2. KAMAR MANDI 1
3. RUANG TAMU
4. RUANG KELUARGA
5. RUANG TV
6. RUANG MAKAN
7. DAPUR OKE
8. LANTAI GRANIT 60X60
9. PLAFON TINGGI 4 M
10. TAMAN
11. CARPORT RABAT BETON

Segera Booking unitnya sebelum kehabisan ya bersama pengembang terpercaya.."
21,30-03-2021,https://www.rumah123.com/properti/medan/hos8095838/,700000000,Medan,78,100,2,1,0,0,0,0,2200,SHM,rumah baru 2 lantai ready 700 juta cash simpang limun,"https://maps.app.goo.gl/GfQAynD4HoKxKzuv8

*SUDAH DI BANGUN*

```Hunian Murah Berkualitas Di Medan Kota, Lokasi Strategis, Bebas Banjir, & Yang Pastinya Design Mewah Hunian Terbaik Keluarga.```

_*TOPAZ SIMPANG LIMUN*_
_Jl Kemiri II / Jl Tj Bunga III, Medan Kota_

EKSLUSIF HANYA 7 UNIT
EKSLUSIF HANYA 7 UNIT
_____________________________
*TYPE 100*
_*2 Lantai*_

```Uk 6 x 14 m```
```3 KT```
```3 KM```

HARGA NORMAL/KPR
*Rp750 Juta*

_PROMO CASH_
*Rp700 Juta*
KAVLING *A1 & A2*
_____________________________
*TYPE 50*
_*1 Lantai*_

```Uk 7 x 12 m```
```2 KT```
```1 KM```

_HARGA NORMAL/KPR_ *Rp450 Juta*

_PROMO CASH_
*Rp420 Juta*
KAVLING *B2*
_____________________________
SPESIFIKASI :

- SHM, IMB, PBB
- 2 Kamar tidur
- 1 Kamar mandi
- R.tamu, R.keluarga, R.makan
- Dapur
- Listrik 2.200 watt *(2 lantai)*
- Listrik 1300 watt *(1 lantai)*
- Lantai granite 60x60"
22,29-03-2021,https://www.rumah123.com/properti/medan/hos8093669/,750000000,Medan,70,120,3,2,0,0,0,0,2200,SHM,Perumahan Lavender,"Dijual rumah pribadi di komplek modern daerah ringroad (belakang Ringroad City Walk). Perumahan lavender no as.3 jl. Mangga - kecamatan Medan sunggal

- luas bangunan 120 m
- luas tanah 70 m
- 2 lantai
- sertifikat SHM
- 3 kamar tidur
- 2 kamar mandi
- kanopi
- pagar
- dapur
- cucian baju
- tidak banjir
- row jalan luas
- satpam 24 jam . Aman
- lokasi sangat strategis, dibelakang mall ringroad city walk

Harga : Rp.750 juta/ nego

Hub.
wa.me//6282274827652"
23,29-03-2021,https://www.rumah123.com/properti/medan/hos8092440/,3000000000,Medan,580,238,4,2,0,0,0,0,900,SHM,RUMAH DI KOMPLEK RISPA III JALAN KELAPA I MEDAN,"DAERAH JOHOR
KOMPLEK RISPA III
JALAN KELAPA I

LOKASI BANGUNAN : .
Rumah Tinggal strategis yang berada didaerah Johor
Banyak di lalui berbagai moda transportasi, sehingga akses mudah untuk di capai kemana saja .
Area bebas banjir .
AREA SEKITAR : .
8 menit ke Carrefour Citra Garden.
10 menit ke Prime One School.
10 menit ke Inpres Market Titi kuning.
11 menit ke Maju Bersama Katamso.
18 menit ke Ace Hardware Juanda.
18 menit ke Ringroad City Walks

SPESIFIKASI:
Luas Tanah : 20 x 29 m
Luas Bangunan : 14 x 17 m
1 Tingkat
Siap Huni
4 Kamar Tidur
2 Kamar Mandi
1 Line Telpon
Air PAM
Listrik 900 Watt
Hadap Barat
SHM

HARGA : Rp. 3.000.000.000, - / NEGO

CARA BAYAR : .
CASH .
KPR, dengan berbagai pilihan Bank

FOR INFO : 0811 600 1789"
24,29-03-2021,https://www.rumah123.com/properti/medan/hos8092370/,1400000000,Medan,150,200,4,4,0,0,0,0,0,SHM,RUMAH DI KOMPLEK ROYAL SUMATERA TYPE TOWN HOUSE BLOK C MEDAN,"KOMPLEK ROYAL SUMATERA
TYPE TOWN HOUSE BLOK C

Memiliki fasilitas Golf couse berstandart internasional serta dilengkapi dengan singapore international school
Memiliki Clubhouse dan restaurant, Citywalk comersial area dan sport center (coming soon)
Main gate langsung dari jalan protokol utama jamin ginting
Terletak di kawasan seluas 300 Ha dan merupakan satu-satunya perumahan di medan dengan area hijau +/-90 Ha
Lokasi jalan akses 2 arah dan mudah kemana saja
Area Sekitar :
Hanya 7 menit ke flyover jamin ginting
10 menit ke setia budi
Pembelian bisa melalui cash maupun KPR

SPESIFIKASI .
Luas Tanah : 10 x 15 m
Luas Bangunan : 8 x 10 m
2.5 Tingkat
Kondisi Kosong
4 Kamar Tidur
4 Kamar Mandi
Hadap Selatan
SHM

FASILITAS .
Scurity 24 jam
Area taman hijau
Area Golf berstandart internasional
Clubhouse
Restaurant
Citywalk comersial area
Singapore international school

HARGA : Rp. 1.400.000.000,- / NEGO"
25,29-03-2021,https://www.rumah123.com/properti/medan/hos8013824/,350000000,Medan,60,90,2,1,0,0,0,0,1300,SHM,"rumah ready ,cantik ,perabot lengket dan dpt bonun lainnya","READY....SIAP HUNI
LOKASI INTI KOTA.

DIJUAL RUMAH DLM KOMPLEK
GRIYA MARELAN 1
JLN.TITIPAPAN~ MEDAN MARELAN.
KOTA MEDAN
DEKAT SWALAYAN IRIAN,RS ESHMUN.

Benefit lain dekat ke :
Suzuya Marelan Plaza.
Mc.Donal's
RS Eshmun
Irian Swalayan.
King Kuphi
Toll Marelan.
Suzuya Marelan.
Bisa tembus ke jln Yos Sudarso.
Simpang Mabar.

Luas tanah 90 m2
Ukuran tanah 6x15 m2
Kamar tidur 2
K mandi 1
Teras
Canopy
Lantai Granite.
Ruang jemur.
Bebas banjir
SHM,PBB,IMB
PLN,PDAM.
Dapur,Ruang jemur
Scurity 24 jam
One Gate System.

Harga : Rp.350 juta.
Bisa KPR

Bonus perabot yg lengket
Spt kitchen set
BuffetTV
Lemari hias.
Stabilizer .
AC 1/2 PK.
Canopy,Pagar.
Hadap Utara."
26,29-03-2021,https://www.rumah123.com/properti/medan/hos8013824/,1200000000,Medan,162,117,4,3,0,0,0,0,2200,SHM,"rumah cantik,mewah,siap huni,daerah tjg sari","Rumah di jual (1,5 lantai).
Komp. Puri tanjungsari 1 medan.
Harga 1,2 M/nego tipis.
Surat SHM
Uk. Tanah : 9 X 18
Bangunan : 9 X 13
Lt. 1 terdiri dari :
Kmr tidur : 4
Kmr mandi : 3
Ruang tamu, ruang keluarga, dapur & ruang makan.
Lantai 2 terdiri dari :
Tempat gosok, tempat cuci & jemur."
27,28-03-2021,https://www.rumah123.com/properti/medan/hos8089777/,350000000,Medan,84,54,2,1,0,0,1,0,1300,SHM,Komplek Perumahan Megah Mewah Full Fasilitas di Simpang Selayang,"_*HARGA PROMO PRA-LAUNCHING KHUSU 22 UNIT SAJA (sisa 8 unit) : Rp. 350jt_*

Mau Punya Rumah di Komplek Elite dengan Row Jalan Komplek 12 meter & Full Fasilitas Komplek seperti Kolam Renang, Gedung Serbaguna, Playground, dll... Dengan Harga Murah & Lokasi yang sangat Strategis ???
Disini Tempatnya..

*""BUMI KENCANA RESIDENCE""*
Jl. Bunga Rinte, Simpang Selayang, Medan Tuntungan.

Link Maps Lokasi :
https://goo.gl/maps/X9MwHwMWckRrzipL8

*Dapatkan Harga PROMO Pra-Launching, Khusus 22 unit Pertama (Sisa 8 unit lagi).*

*_Cukup booking 1 Juta saja, sudah bisa amankan kavlingny & dapatkan harga Promo nya_*

_Benefit Komplek :_
-Luas Lahan 3 Hektar dg Total unit sebanyak 212 unit.

-Komplek Berada di Pinggir Jalan utama Jl. Bunga Rinte, medan selayang.

-dilalui Angkutan Umum (Angkot)

-Hanya 1 KM dari jl. Setia Budi (Simpang Selayang).

-Row Jalan utama Komplek 12 meter

-One Gate System security 24 jam.

-Jalan Komplek Cor beton

-Drainase/Parit tanam (parit tertutup)

-Fasum Kolam Renang, Gedung Serba Guna Kompl"
28,28-03-2021,https://www.rumah123.com/properti/medan/hos8089528/,275000000,Medan,96,45,2,1,0,0,0,0,1300,SHM,Perumahan sudah rame dekat Mushola pinggir jalan dekat Medan Johor,"Perumahan di pinggir jalan sudah rame yg huni

UK 8x12
Type 45
Harga 275 juta
2 kamar tidur
1 kamar mandi

Lokasi strategis
Dekat ke medan johor
Dekat ke titikuning
Dekat ke asrama haji
Dekat ke simpang pos

Cara bayar
Tunai dan Kredit

Untuk informasi lebih lanjut bisa hubungi saya via whatsapp atau telpon Terima kasih"
29,28-03-2021,https://www.rumah123.com/properti/medan/hos8089519/,775000000,Medan,72,85,2,1,0,0,0,0,2200,SHM,PERUMAHAN SIAP HUNI 2 LANTAI Di Ringroad Medan Mewah,"Perumahan strategis di Ringroad medan dekat ke Mall

Ukuran 6x12.
Type 85
2 kamar tidur
1 kamar mandi
Surat shm
Harga 775juta

Dekat ke Mall Manhattan
Dekat ke jln Gatot subroto
Dekat ke Mall RCW

Untuk informasi lebih lanjut bisa hubungi saya via whatsapp atau telpon Terima kasih"
30,27-03-2021,https://www.rumah123.com/properti/medan/hos8089031/,750000000,Medan,80,102,3,2,0,0,1,0,2200,SHM,rumah baru 2 lantai andalusia brigjend katamso baru,"Cari Rumah Sejuk,Nyaman,asri dan jauh dari kebisingan tetapi terletak di inti kota??

Kami adalah Jawaban dari Pencarian Anda
*GLOBAL KARYA GROUP MEMPERSEMBAHKAN*

*ANDALUSIA KATAMSO RESIDENCE*
Jl.Bridgen Katamso /Jl.Sepakat Sepakat Medan
*Tepat disamping SMP Swasta Pembangunan*

SPESIFIKASI
~ Blok A2 SD A4
~ BLOK A1 ( 8,5 X 12 )
~ TIPE CEVILA
~ TIPE 84/72
~ LT : 6 X 12
~ 3 Kamar Tidur,2 Kamar Mandi
~ 1 Ruang Tamu,1 Ruang Makan,
~ 1 Ruang Keluarga,Dapur,Tempat ~ ~ Cuci Jemur.
~ Carpot Mobil,Mini Garden,Balkon
~ Harga belum termasuk kelebihan tanah.

Tersedia Juga
BLOK B TIPE ASTONE
B5 SD B9
RUMAH INDENT
BISA REQUEST SESUAI KEINGINAN KONSUMEN

*SUDAH SOLD OUT*
A1,A4,B5 DAN B6

Fasilitas Komplek
Pos Security
One Gate Security Sestem
Sudah di tembok keliling
Row Jalan Vaping Blok
Lampu Penerangan

*Bonus Spesial FEBRUARI*
*Free* Pegangan Tangga
*Free* Ralling Balkon
*Free* Biay"
31,27-03-2021,https://www.rumah123.com/properti/medan/hos8087337/,1200000000,Medan,351,351,3,4,0,0,0,0,2200,SHM,komplek permai tanjung gusta,"Komplex Tanjung Permai Tanjung Gusta, Kota Medan, Sumatera Utara

Dijual satu unit Rumah Mewah dua lantai dengan 3 kamar tidur, 4 kamar mandi, Halaman dan Garasi Luas,Ukuran tanah 351M"" SHM, Rp 1,2Milyar dengan jarak Tiga menit dari pintu TOL helvetia dan tiga menit dari perkantoran lapas dan rutan, Akses jalan baik dan lancar,. Seluruh kusen menggunakan Kayu merbau dan dan Meranti kwalitas terbaik

minat :
wa.me//6282274827652"
32,27-03-2021,https://www.rumah123.com/properti/medan/hos8087337/,2200000000,Medan,200,250,4,3,0,0,0,0,0,SHM,Rumah mewah cantik dan nyaman di Tasbih 2 Medan,"Rumah mewah cantik dan nyaman
Alamat : Komp Tasbi 2 Blok 6 No. 14, Medan
Luas tanah 10 x 20 = 200 m2 (SHM)
Luas bangunan = 250 m2
Kamar tidur = 4
Kamar mandi = 3
Kitchen bar = 1
Gudang = 1
Harga = 2,2 M nego

Minat hub:
Martin tarigan 08126995769
Instagram; martinproperty8"
